FlightId	ProcessingTimeUtc	AirlineCode	FlightNumber	SchedDepAirportCode	SchedArrAirportCode	SchedDepartureUtc	SchedArrivalUtc	SchedDepartureLocal	SchedArrivalLocal	Status	DiversionStatus	RecoveryExists	OpAirlineCode	OpFlightNumber	AltDepAirportCode	AltArrAirportCode	OutGateLocal	OutGateUtc	OutGateAccuracy	OutGateSource	InAirLocal	InAirUtc	InAirAccuracy	InAirSource	LandedLocal	LandedUtc	LandedAccuracy	LandedSource	InGateLocal	InGateUtc	InGateAccuracy	InGateSource	DepTerminal	DepGate	CheckinCounter	ArrTerminal	ArrGate	Baggage	SvcType	AircraftType	OptionalEquipment	WeightClass	Unscheduled	SeqNumber	NumLegs	DepAirportCountryId	ArrAirportCountryId	TailNumber	RegAirlineCode	RegFlightNumber	DepScheduleStatus	ArrScheduleStatus	OriginationDateLocal	OriginationDateUtc	DomIntDep	DomIntArr	PrevFltAirlineCode	PrevFltNumber	PrevFltSchedArrLocal	PrevFltSchedArrUtc	PrevFltMethod	Suffix	AircraftOwner	IsGeneralAviation	SchedDepAptNS	SchedArrAptNS	AltDepAptNS	AltArrAptNS	DepDelayCode	ArrDelayCode	UpStreamLegs	DownStreamLegs	NewToFlightWindow	StatusChange	PreviousStatus	DiversionStatusChange	PreviousDiversionStatus	OutGateUtcChange	PreviousOutGateUtc	PreviousOutGateLocal	InAirUtcChange	PreviousInAirUtc	PreviousInAirLocal	LandingUtcChange	PreviousLandingUtc	PreviousLandingLocal	InGateUtcChange	PreviousInGateUtc	PreviousInGateLocal	DepGateChange	PreviousDepGate	DepTerminalChange	PreviousDepTerminal	ArrGateChange	PreviousArrGate	ArrTerminalChange	PreviousArrTerminal	BaggageChange	PreviousBaggage	AircraftTypeChange	PreviousAircraftType	TailNumberChange	PreviousTailNumber	PrevFltChange	PreviousPrevFltAirlineCode	PreviousPrevFltNumber	OtherChange
5X5520SDFSLC04132002	2017-04-13 20:28:00	5X	5520	SDF	SLC	2017-04-13 20:02	2017-04-13 23:15	2017-04-13 16:02	2017-04-13 17:15	InAir		N									2017-04-13 16:10	2017-04-13 20:10	Actual	FlightViewData	2017-04-13 17:16	2017-04-13 23:16	Estimated	FlightViewData												B752		Z	Y			US	US																		I	I																		Y	2017-04-13 23:14	2017-04-13 17:14																					
B6105JFKORD04131945	2017-04-13 20:28:00	B6	105	JFK	ORD	2017-04-13 19:45	2017-04-13 22:44	2017-04-13 15:45	2017-04-13 17:44	InAir		N					2017-04-13 15:47	2017-04-13 19:47	Actual	AirlineData	2017-04-13 16:22	2017-04-13 20:22	Actual	FlightViewData	2017-04-13 17:08	2017-04-13 22:08	Estimated	FlightViewData	2017-04-13 17:38	2017-04-13 22:38	Estimated	AirlineData	5	01		3	L5		J	A320		L		1	1	US	US	N527JL					2017-04-13	2017-04-13			B6	500	2017-04-13 14:57	2017-04-13 18:57	T				I	I								Y	OutGate						Y			Y																							
EK225DXBSFO04130510	2017-04-13 20:28:00	EK	225	DXB	SFO	2017-04-13 05:10	2017-04-13 21:00	2017-04-13 09:10	2017-04-13 14:00	InAir		N					2017-04-13 09:34	2017-04-13 05:34	Actual	AirlineData					2017-04-13 13:48	2017-04-13 20:48	Estimated	FlightViewData	2017-04-13 13:58	2017-04-13 20:58	Estimated	AirlineData	3	A23		I			J	A388		L		1	1	AE	US	A6EOL					2017-04-13	2017-04-13			EK	132	2017-04-13 05:55	2017-04-13 01:55	T				I	I																					Y	2017-04-13 21:00	2017-04-13 14:00																		
AC8329YYZYAM04132200	2017-04-13 20:28:00	AC	8329	YYZ	YAM	2017-04-13 22:00	2017-04-13 23:32	2017-04-13 18:00	2017-04-13 19:32	Scheduled		N																					T1	D1					J	DH8A		R		1	1	CA	CA	CGKON	QK	8329	DO	AO	2017-04-13	2017-04-13			AC	8326	2017-04-13 17:20	2017-04-13 21:20	T		QK		I	I			06	06																														Y	DH1						Y
AA5879PHXFSD04131925	2017-04-13 20:28:00	AA	5879	PHX	FSD	2017-04-13 19:25	2017-04-13 22:04	2017-04-13 12:25	2017-04-13 17:04	InAir		N					2017-04-13 12:19	2017-04-13 19:19	Actual	AirlineData	2017-04-13 12:41	2017-04-13 19:41	Actual	AirlineData	2017-04-13 16:51	2017-04-13 21:51	Estimated	FlightViewData	2017-04-13 16:59	2017-04-13 21:59	Estimated	AirlineData	4	A1			3	1	J	CRJ9		L		2	2	US	US	N951LR	YV	5879			2017-04-13	2017-04-13									YV		I	I			06	06	BUR													Y	2017-04-13 21:53	2017-04-13 16:53																					
AA2491MCODCA04131910	2017-04-13 20:28:00	AA	2491	MCO	DCA	2017-04-13 19:10	2017-04-13 21:25	2017-04-13 15:10	2017-04-13 17:25	InAir		N					2017-04-13 15:04	2017-04-13 19:04	Actual	AirlineData	2017-04-13 15:20	2017-04-13 19:20	Actual	AirlineData	2017-04-13 17:04	2017-04-13 21:04	Estimated	FlightViewData	2017-04-13 17:15	2017-04-13 21:15	Estimated	AirlineData	B	53		C	45	12	J	B738		L		2	2	US	US	N822NN					2017-04-13	2017-04-13											I	I			06	06	DCA													Y	2017-04-13 21:05	2017-04-13 17:05																					
5T9001YEGYXX04131845	2017-04-13 20:28:00	5T	9001	YEG	YXX	2017-04-13 18:45	2017-04-13 20:08	2017-04-13 12:45	2017-04-13 13:08	Landed		N									2017-04-13 13:03	2017-04-13 19:03	Actual	FlightViewData	2017-04-13 13:27	2017-04-13 20:27	Actual	FlightViewData												B733		Q	Y			CA	CA																		I	I								Y	InAir									Y	2017-04-13 20:26	2017-04-13 13:26																					
AC1781PUJYUL04131520	2017-04-13 20:28:00	AC	1781	PUJ	YUL	2017-04-13 15:20	2017-04-13 19:55	2017-04-13 11:20	2017-04-13 15:55	InAir		N					2017-04-13 12:04	2017-04-13 16:04	Actual	AirlineData	2017-04-13 12:20	2017-04-13 16:20	Actual	AirlineData	2017-04-13 16:43	2017-04-13 20:43	Estimated	AirlineData	2017-04-13 16:50	2017-04-13 20:50	Estimated	AirlineData	B	02			50		J	A319		Q		1	1	DO	CA	CFYNS	ZX	1781	DO	AD	2017-04-13	2017-04-13			AC	1778	2017-04-13 10:35	2017-04-13 14:35	T		RV		I	I			06	06																																					Y
AA3549BNAORD04131915	2017-04-13 20:28:00	AA	3549	BNA	ORD	2017-04-13 19:15	2017-04-13 20:59	2017-04-13 14:15	2017-04-13 15:59	InAir		N					2017-04-13 14:27	2017-04-13 19:27	Actual	AirlineData	2017-04-13 14:42	2017-04-13 19:42	Actual	AirlineData	2017-04-13 15:55	2017-04-13 20:55	Estimated	FlightViewData	2017-04-13 16:10	2017-04-13 21:10	Estimated	AirlineData		C13		T3	H1A	9	J	CRJ7		G		2	2	US	US	N527EA	MQ	3549			2017-04-13	2017-04-13			AA	3549	2017-04-13 13:32	2017-04-13 18:32	T		MQ		I	I			06	06	ORD													Y	2017-04-13 20:54	2017-04-13 15:54																					
DL466SFOJFK04132115	2017-04-13 20:28:00	DL	466	SFO	JFK	2017-04-13 21:15	2017-04-14 02:56	2017-04-13 14:15	2017-04-13 22:56	Scheduled		N																	2017-04-13 22:39	2017-04-14 02:39	Estimated	AirlineData	1	41		4	B32		J	B752		L		1	1	US	US	N702TW					2017-04-13	2017-04-13			DL	490	2017-04-13 13:10	2017-04-13 20:10	T				I	I			06	06																														Y	75W						Y
